Nome (codificado),Media,4º MAT,5º MAT,6º MAT,7º MAT,8º MAT,9º MAT
Aluno 01,6.66666666666667,8,6,6,7,6,7
Aluno 02,8.51666666666667,8.8,8.8,7.3,7.9,9.5,8.8
Aluno 03,7,8.2,7.9,6,6.3,8.3,5.3
Aluno 04,8.66666666666667,8,9,8,9,9,9
Aluno 05,7.3,7.8,8,8,8,6,6
Aluno 06,8,9,7,9,10,7,6
Aluno 07,7.33333333333333,7,7,8,9,6,7
Aluno 08,6.43333333333333,6.6,6.8,6.7,7,6.5,5
Aluno 09,7.66666666666667,8,6,9,7,8,8
Aluno 10,7.53333333333333,8.6,8,7.3,6.8,7.7,6.8
Aluno 11,7,9,9,6,6,6,6
Aluno 12,6.83333333333333,7,8,7,6,7,6
Aluno 13,8.1,9,9.8,6.8,7,8,8
Aluno 14,6.16666666666667,6,6,6,7,6,6
Aluno 15,7.5,7,7,8,9,7,7
Aluno 16,7,8,7,6,7,7,7
Aluno 17,6.5,7,6,6,6,6,8
Aluno 18,7.7,7.6,8.9,8.6,7.8,6.1,7.2
Aluno 19,7.83333333333333,7,7,10,9,7,7
Aluno 20,8.33333333333333,9,8,9,9,7,8
Aluno 21,6.5,7,6,7,6,6,7
Aluno 22,7.33333333333333,7,8,7,8,7,7
Aluno 23,7,7,6,9,7,6,7
Aluno 24,6.96666666666667,7.5,6,7,9.2,6.2,5.9
Aluno 26,6.33333333333333,6,7,6,6,7,6
Aluno 27,8.16666666666667,10,9,8,8,7,7
Aluno 28,7.83333333333333,8,9,8,7,7,8
Aluno 29,8.6,9.3,8.4,10,10,7.3,6.6
Aluno 30,7.33333333333333,8,6,7,9,8,6
Aluno 31,6,6,6,6,6,6,6
Aluno 32,6.16666666666667,6,6,7,6,6,6
Aluno 33,6.85,6,6.7,6.3,6,8.1,8
Aluno 34,7.5,9,7,8,6,6,9
Aluno 35,7.5,9,7,7,8,7,7
Aluno 36,6.16666666666667,6,6,7,6,6,6
Aluno 37,6.28333333333333,5.5,6,6.2,7.5,6,6.5
Aluno 38,7.2,6.7,6,9.5,9.8,5.1,6.1
Aluno 39,7.5,9,6,8,8,7,7
Aluno 40,7.5,9,8,7,6,7,8
Aluno 41,7.83333333333333,8,8,10,7,7,7
Aluno 42,7.16666666666667,8,8,6,8,6,7
Aluno 43,7.26666666666667,8.3,8.5,7,6,6.9,6.9
Aluno 44,6.4,5.4,7,7,6,6,7
Aluno 45,7,8,7,8,7,6,6
Aluno 48,9.16666666666667,9.3,10,9.6,9.2,8.7,8.2
Aluno 49,8.18333333333333,8.6,9.5,7.6,8,7.8,7.6
Aluno 50,7.43333333333333,7.2,7.5,6.5,8.5,7.9,7
Aluno 51,7.83333333333333,9,8,8,6,7,9
Aluno 52,8.33333333333333,9,9,8,9,8,7
Aluno 53,7.26666666666667,8.5,7.4,7.7,6,7.5,6.5
Aluno 54,7.83333333333333,9,8,7,7,8,8
Aluno 55,6.91666666666667,6.1,8.6,7.5,6.1,7.2,6
Aluno 56,6.33333333333333,7,6,6,7,6,6
Aluno 57,6.86666666666667,9.4,7.8,7,6,6,5
Aluno 58,6.33333333333333,7,6,6,6,7,6
Aluno 59,6.33333333333333,6,6,6,6,8,6
Aluno 60,7.33333333333333,8,9,6,8,6,7
Aluno 61,6.5,6,6,6,8,7,6
Aluno 62,6.83333333333333,6,6,7,7,8,7
Aluno 63,6.83333333333333,6,7,6,8,7,7
Aluno 64 ,6.83333333333333,6,7,7,6,9,6
Aluno 65,6.16666666666667,6,6,6,7,6,6
Aluno 66,7.33333333333333,10,6,6,7,8,7
Aluno 67,6.78333333333333,6.7,7.6,6.3,6.7,6.9,6.5
Aluno 68,8.51666666666667,9.7,9.8,9,6.6,7.5,8.5
Aluno 69,7.6,8.3,7.7,8,7.3,9.3,5
Aluno 70,8.16666666666667,8,8,8,9,9,7
Aluno 71,6.63333333333333,7.6,6.9,6.5,7.2,5.6,6
Aluno 72,6.5,7,6,6,7,6,7
Aluno 73,8.5,10,9,8,8,9,7
Aluno 74,6.16666666666667,6,6,6,6,6,7
Aluno 75,6.16666666666667,6,6,6,6,7,6
Aluno 76,7.86666666666667,7,7.5,7.6,8.8,9.2,7.1
Aluno 77,8.31666666666667,9.2,8.6,7.6,6.9,9.1,8.5
Aluno 78,7.66666666666667,8,7,8,8,7,8
Aluno 79,6.16666666666667,7,6,6,6,6,6
Aluno 80,6.66666666666667,7,7,6,6,8,6
Aluno 81,8.83333333333333,10,9,9,9,7,9
Aluno 82,7.66666666666667,9,8,8,6,7,8
Aluno 83,6.66666666666667,7,7,7,6,6,7
Aluno 84,6.5,6,6,6,6,8,7
Aluno 85,7.85,8.5,7.6,6.7,8.3,8.5,7.5
Aluno 86,7,8,8,7,6,7,6
Aluno 87,7.16666666666667,8,7,7,6,8,7
Aluno 88,6.66666666666667,6,6,6,6,8,8
Aluno 89,7.66666666666667,7.7,7.2,7.6,7.5,9,7
Aluno 90,9.16666666666667,10,10,9,8,9,9
Aluno 91,7.66666666666667,8,8,8,7,7,8
Aluno 92,9.3,9.1,8.9,9.1,9.1,10,9.6
Aluno 93,8.78333333333333,8.3,9.2,8.8,8.7,9.1,8.6
Aluno 94,8.01666666666667,8.6,8,8.2,7,8.8,7.5
Aluno 95,8.16666666666667,8,10,9,6,8,8
Aluno 96,8,7,8,7,7,10,9
Aluno 97,8.66666666666667,10,9,8,8,9,8
Aluno 98,7.5,9,7,7,7,7,8
Aluno 99,8.16666666666667,8.7,8.3,6,7,10,9
Aluno 100,8,8.4,8,7.8,6.3,7.5,10
Aluno 101,8.16666666666667,7.8,9.3,8.3,6.3,9.2,8.1
Aluno 102,9.33333333333333,10,9,9,9,9,10
Aluno 103,9,10,9,9,8,9,9
Aluno 104,7.83333333333333,9,8,7,6,9,8
Aluno 105,8.16666666666667,8,9,8,8,8,8
Aluno 106,7,8,6,6,7,8,7
Aluno 107,6.56666666666667,6.1,7.9,6.6,5,6,7.8
Aluno 108,6.66666666666667,6,7,6,6,9,6
Aluno 109,6.83333333333333,9,6,6,6,7,7
Aluno 110,6.66666666666667,6,6,6,6,8,8
Aluno 111,6.5,7,7,6,6,7,6
